id,price,beds,baths,garage,sqft,year_built,address,postal_code,state,city,pictures,county,pictures1,db
8941321008,715000,3.0,3.0,,2007.0,1980.0,13100 Onion Creek Dr,78652.0,TX,Manchaca,https://ap.rdcpix.com/b6943c8848a84b18a457fd1ad1261981l-m1622454678s.jpg,Travis,https://ap.rdcpix.com/b6943c8848a84b18a457fd1ad1261981l-m2411281689s.jpg,1 - 13100 Onion Creek Dr
7851800830,279900,3.0,2.0,2.0,1373.0,1984.0,749 Meadowcreek Ct,75043.0,TX,Garland,https://ap.rdcpix.com/26cfe8bf9f4138886bd37d5e10758acal-m1642075993s.jpg,Dallas,https://ap.rdcpix.com/26cfe8bf9f4138886bd37d5e10758acal-m2734202621s.jpg,2 - 749 Meadowcreek Ct
9228368031,380000,3.0,2.0,2.0,1895.0,2020.0,423 Stars Dr,75409.0,TX,Anna,https://ap.rdcpix.com/3d98970007849ad5cb064a1628cca72dl-m1114271685s.jpg,Collin,https://ap.rdcpix.com/3d98970007849ad5cb064a1628cca72dl-m2594470873s.jpg,3 - 423 Stars Dr
9898175731,329900,4.0,3.0,2.0,1772.0,2022.0,309 Stone Ct,75407.0,TX,Princeton,https://ap.rdcpix.com/038053b8ae5dd39c502c95fcc39f5a11l-m2561827783s.jpg,Collin,https://ap.rdcpix.com/038053b8ae5dd39c502c95fcc39f5a11l-m1230393900s.jpg,4 - 309 Stone Ct
9678883934,544900,4.0,3.0,2.0,2504.0,2022.0,1927 Dalhart,78253.0,TX,San Antonio,https://ap.rdcpix.com/d1fda0c23dd135070eb8e163496cdccal-m505957533s.jpg,Bexar,https://ap.rdcpix.com/d1fda0c23dd135070eb8e163496cdccal-m3627506334s.jpg,5 - 1927 Dalhart
9828063225,799000,4.0,4.0,3.0,2963.0,2018.0,4205 Lynette Ln,78681.0,TX,Round Rock,https://ap.rdcpix.com/34516b12c7e2e9f2a9a5b4b9ba7aae58l-m534632444s.jpg,Williamson,https://ap.rdcpix.com/34516b12c7e2e9f2a9a5b4b9ba7aae58l-m3196878037s.jpg,6 - 4205 Lynette Ln
8616535052,249000,4.0,2.0,,1236.0,1960.0,128 Elder St,75165.0,TX,Waxahachie,https://ap.rdcpix.com/91b9cd69eefbb5e1467a5f0875bb5175l-m3737648835s.jpg,Ellis,https://ap.rdcpix.com/91b9cd69eefbb5e1467a5f0875bb5175l-m3671411941s.jpg,7 - 128 Elder St
9557767800,691878,5.0,3.0,2.0,3435.0,2023.0,1408 Milton Ln,75071.0,TX,McKinney,https://ap.rdcpix.com/5cef9603afab85119289a4f43a364197l-m52833580s.jpg,Collin,https://ap.rdcpix.com/5cef9603afab85119289a4f43a364197l-m3256314797s.jpg,8 - 1408 Milton Ln
8134410697,265000,3.0,2.0,1.0,1029.0,1963.0,1524 E Parker Rd,75074.0,TX,Plano,https://ap.rdcpix.com/aea773465ca3d696501b50588015b690l-m4017791547s.jpg,Collin,https://ap.rdcpix.com/aea773465ca3d696501b50588015b690l-m1126962425s.jpg,9 - 1524 E Parker Rd
8237770981,244950,3.0,3.0,2.0,1776.0,2016.0,6696 Boulder Canyon Ln,79912.0,TX,El Paso,https://ap.rdcpix.com/b3034bd281972d5f89c8baa8d6ea4bebl-m1943225249s.jpg,El Paso,https://ap.rdcpix.com/b3034bd281972d5f89c8baa8d6ea4bebl-m2830872200s.jpg,10 - 6696 Boulder Canyon Ln
9516841387,252000,3.0,2.0,2.0,1524.0,2022.0,614 Yoli Ln,78537.0,TX,Donna,https://ap.rdcpix.com/fa924519ffb08b39889c235ec3beed2el-m2341456702s.jpg,Hidalgo,https://ap.rdcpix.com/fa924519ffb08b39889c235ec3beed2el-m209296828s.jpg,11 - 614 Yoli Ln
7968823593,225000,4.0,2.0,1.0,1229.0,1999.0,5003 Pettus,78228.0,TX,San Antonio,https://ap.rdcpix.com/2351134829109bade7e4d3a2339a3b50l-m2549713058s.jpg,Bexar,https://ap.rdcpix.com/2351134829109bade7e4d3a2339a3b50l-m3798937315s.jpg,12 - 5003 Pettus
9478548899,298900,3.0,2.0,2.0,1525.0,2022.0,3143 Jackson Smt,78109.0,TX,San Antonio,https://ap.rdcpix.com/61eaaf8789d553d21d9f1b4310730f3el-m1682414860s.jpg,Bexar,https://ap.rdcpix.com/61eaaf8789d553d21d9f1b4310730f3el-m2251254300s.jpg,13 - 3143 Jackson Smt
7189927242,360000,3.0,3.0,2.0,2324.0,1997.0,23519 Peacock Gap Ln,77494.0,TX,Katy,https://ap.rdcpix.com/7b1187affb335ca8fdd0dc5ae2af9effl-m4146897170s.jpg,Fort Bend,https://ap.rdcpix.com/7b1187affb335ca8fdd0dc5ae2af9effl-m2385520910s.jpg,14 - 23519 Peacock Gap Ln
8869200556,269000,3.0,2.0,2.0,1798.0,2012.0,260 Cedar Creek Rd,77836.0,TX,Caldwell,https://ap.rdcpix.com/8614f19c9f76ea46ceebfb2cdfc817c4l-m2550589736s.jpg,Burleson,https://ap.rdcpix.com/8614f19c9f76ea46ceebfb2cdfc817c4l-m3598733684s.jpg,15 - 260 Cedar Creek Rd
8333748575,302000,3.0,3.0,2.0,1344.0,2017.0,1569 Arbor Knot Dr,78640.0,TX,Kyle,https://ap.rdcpix.com/b64a2b3aa04a59544d48810ad1cd6f19l-m3578681320s.jpg,Hays,https://ap.rdcpix.com/b64a2b3aa04a59544d48810ad1cd6f19l-m3901271117s.jpg,16 - 1569 Arbor Knot Dr
8265713530,299000,4.0,2.0,,2357.0,1930.0,621 W Avenue J,76903.0,TX,San Angelo,https://ap.rdcpix.com/e6a6b3ab733fa91978d20b671ac44c29l-m1765285326s.jpg,Tom Green,https://ap.rdcpix.com/e6a6b3ab733fa91978d20b671ac44c29l-m3374925925s.jpg,17 - 621 W Avenue J
7918425454,335000,3.0,2.0,,1612.0,2014.0,10025 County Road 3508,75778.0,TX,Murchison,https://ap.rdcpix.com/494ad79880f84ae470233464caaa7a22l-m1429115406s.jpg,Henderson,https://ap.rdcpix.com/494ad79880f84ae470233464caaa7a22l-m963942871s.jpg,18 - 10025 County Road 3508
8184049238,1250000,3.0,3.0,2.0,3502.0,2005.0,807 Slawson Ln,76542.0,TX,Killeen,https://ap.rdcpix.com/727a9eb2cac7b69149175bdf21f862c1l-m3749208928s.jpg,Bell,https://ap.rdcpix.com/727a9eb2cac7b69149175bdf21f862c1l-m127343181s.jpg,19 - 807 Slawson Ln
7660124874,485000,4.0,3.0,3.0,3480.0,2019.0,2715 Emerald Pines Ln,77583.0,TX,Iowa Colony,https://ap.rdcpix.com/d7875c3d46f3ccffd32d416c22b04d7fl-m2201407867s.jpg,Brazoria,https://ap.rdcpix.com/d7875c3d46f3ccffd32d416c22b04d7fl-m2395520942s.jpg,20 - 2715 Emerald Pines Ln
9661631538,250000,3.0,1.0,1.0,1350.0,1940.0,572 Pearl St,75495.0,TX,Van Alstyne,https://ap.rdcpix.com/7edb4338902dbe56563cd52d59c2246el-m1051439678s.jpg,Grayson,https://ap.rdcpix.com/7edb4338902dbe56563cd52d59c2246el-m551154729s.jpg,21 - 572 Pearl St
9335619478,316000,3.0,2.0,2.0,2948.0,1978.0,409 Eucalyptus,77663.0,TX,Village Mills,https://ap.rdcpix.com/67b47e5d83774f2519d957e8f87a3a59l-m1609208875s.jpg,Hardin,https://ap.rdcpix.com/67b47e5d83774f2519d957e8f87a3a59l-m2673881774s.jpg,22 - 409 Eucalyptus
9898335035,387900,5.0,3.0,2.0,2733.0,2022.0,103 Son Martin Pl,76084.0,TX,Venus,https://ap.rdcpix.com/877d80ea962b576cfc4086fb61399488l-m1822969423s.jpg,Johnson,https://ap.rdcpix.com/877d80ea962b576cfc4086fb61399488l-m1337979033s.jpg,23 - 103 Son Martin Pl
7871411642,245000,3.0,2.0,2.0,1714.0,2002.0,3406 Ridge Rnch,78247.0,TX,San Antonio,https://ap.rdcpix.com/5cd9c3c112eea8b3d22ea45ffa08dd28l-m2154676495s.jpg,Bexar,https://ap.rdcpix.com/5cd9c3c112eea8b3d22ea45ffa08dd28l-m2646817242s.jpg,24 - 3406 Ridge Rnch
8789061354,289900,3.0,2.0,2.0,2228.0,1955.0,3210 Martin Blvd,76308.0,TX,Wichita Falls,https://ap.rdcpix.com/5cfec7e6b0b22dcf72fc17ad9ab34d90l-m2764397186s.jpg,Wichita,https://ap.rdcpix.com/5cfec7e6b0b22dcf72fc17ad9ab34d90l-m3731618685s.jpg,25 - 3210 Martin Blvd
8760527015,336753,3.0,2.0,2.0,2201.0,1986.0,4752 Willow Bend Dr,76310.0,TX,Wichita Falls,https://ap.rdcpix.com/e57b5b035f231da13a7c3d84c16ed99dl-m934035481s.jpg,Wichita,https://ap.rdcpix.com/e57b5b035f231da13a7c3d84c16ed99dl-m3515770868s.jpg,26 - 4752 Willow Bend Dr
9232591253,280900,3.0,3.0,2.0,1428.0,2022.0,3142 Jackson Smt,78109.0,TX,San Antonio,https://ap.rdcpix.com/b1e1fcbdb4627cbee53997cd43156218l-m1654101983s.jpg,Bexar,https://ap.rdcpix.com/b1e1fcbdb4627cbee53997cd43156218l-m2831936737s.jpg,27 - 3142 Jackson Smt
8490163061,285000,3.0,2.0,2.0,1726.0,1968.0,105 Turtle Creek Dr,76513.0,TX,Belton,https://ap.rdcpix.com/b8b85e4860b2681f573e1c75277523d0l-m1371243711s.jpg,Bell,https://ap.rdcpix.com/b8b85e4860b2681f573e1c75277523d0l-m2046399862s.jpg,28 - 105 Turtle Creek Dr
7522694008,514900,3.0,2.0,2.0,1950.0,2018.0,9100 Alex Ln,78748.0,TX,Austin,https://ap.rdcpix.com/ec12f114042fab354d84dda4787d5ca8l-m1448133696s.jpg,Travis,https://ap.rdcpix.com/ec12f114042fab354d84dda4787d5ca8l-m2977194386s.jpg,29 - 9100 Alex Ln
8600126022,2800000,4.0,5.0,3.0,4651.0,2016.0,8116 Magnolia Ridge Cv,78738.0,TX,Austin,https://ap.rdcpix.com/48e738b6c900ffe9e41f8e2edb5d0414l-m4291960106s.jpg,Travis,https://ap.rdcpix.com/48e738b6c900ffe9e41f8e2edb5d0414l-m1159604553s.jpg,30 - 8116 Magnolia Ridge Cv
8363214841,379000,6.0,4.0,,2138.0,1960.0,422 W Vestal Pl,78221.0,TX,San Antonio,https://ap.rdcpix.com/e79e257e31fd3394105320d738021bfel-m3369799588s.jpg,Bexar,https://ap.rdcpix.com/e79e257e31fd3394105320d738021bfel-m1449603608s.jpg,31 - 422 W Vestal Pl
